"ProductName","Location","Sublocation","Serial","Quantity"
"Classic in pewter bracelet charm - CD","Moonglow HQ","","","17.00000"
"Classic in pewter bracelet charm - LE","Moonglow HQ","","","5.00000"
"Classic in pewter bracelet charm - NL","Moonglow HQ","","","5.00000"
"Classic in pewter bracelet charm - PL","Moonglow HQ","","","15.00000"
"Classic in pewter bracelet charm - SE","Moonglow HQ","","","5.00000"
"Classic in pewter bracelet charm- 1A","Moonglow HQ","","","20.00000"
"Classic in pewter bracelet charm- 3D","Moonglow HQ","","","16.00000"
"Classic in pewter bracelet charm- 4A","Moonglow HQ","","","19.00000"
"Classic in pewter bracelet charm- 5A","Moonglow HQ","","","18.00000"
"Classic in pewter bracelet charm- 6A","Moonglow HQ","","","14.00000"
"Classic in pewter bracelet charm- 6D","Moonglow HQ","","","20.00000"
"Classic in pewter bracelet charm- 7A","Moonglow HQ","","","17.00000"
"Classic in pewter bracelet charm- 7D","Moonglow HQ","","","12.00000"
"Classic in pewter pendant - no stone - 1A","Moonglow HQ","","","46.00000"
"Classic in pewter pendant - no stone - 1D","Moonglow HQ","","","26.00000"
"Classic in pewter pendant - no stone - 2A","Moonglow HQ","","","39.00000"
"Classic in pewter pendant - no stone - 2D","Moonglow HQ","","","29.00000"
"Classic in pewter pendant - no stone - 3A","Moonglow HQ","","","23.00000"
"Classic in pewter pendant - no stone - 3D","Moonglow HQ","","","27.00000"
"Classic in pewter pendant - no stone - 4A","Moonglow HQ","","","33.00000"
"Classic in pewter pendant - no stone - 4D","Moonglow HQ","","","28.00000"
"Classic in pewter pendant - no stone - 5A","Moonglow HQ","","","32.00000"
"Classic in pewter pendant - no stone - 5D","Moonglow HQ","","","30.00000"
"Classic in pewter pendant - no stone - 6A","Moonglow HQ","","","15.00000"
"Classic in pewter pendant - no stone - 6D","Moonglow HQ","","","23.00000"
"Classic in pewter pendant - no stone - 7A","Moonglow HQ","","","13.00000"
"Classic in pewter pendant - no stone - 7D","Moonglow HQ","","","3.00000"
"Classic in pewter pendant - no stone - CA","Moonglow HQ","","","29.00000"
"Classic in pewter pendant - no stone - CD","Moonglow HQ","","","28.00000"
"Classic in pewter pendant - no stone - LE","Moonglow HQ","","","28.00000"
"Classic in pewter pendant - no stone - NL","Moonglow HQ","","","48.00000"
"Classic in pewter pendant - no stone - PL","Moonglow HQ","","","62.00000"
"Classic in pewter pendant - no stone - SE","Moonglow HQ","","","24.00000"
"Classic in pewter with black swarovski - 1A","Coolum","","","7.00000"
"Classic in pewter with black swarovski - 1A","Eumundi","","","13.00000"
"Classic in pewter with black swarovski - 1A","Moonglow HQ","","","249.00000"
"Classic in pewter with black swarovski - 1A","Queen Vic","","","5.00000"
"Classic in pewter with black swarovski - 1A","Travel","","","1.00000"
"Classic in pewter with black swarovski - 1D","Coolum","","","5.00000"
"Classic in pewter with black swarovski - 1D","Eumundi","","","16.00000"
"Classic in pewter with black swarovski - 1D","Moonglow HQ","","","187.00000"
"Classic in pewter with black swarovski - 1D","Queen Vic","","","5.00000"
"Classic in pewter with black swarovski - 2A","Coolum","","","6.00000"
"Classic in pewter with black swarovski - 2A","Eumundi","","","11.00000"
"Classic in pewter with black swarovski - 2A","Moonglow HQ","","","218.00000"
